facility,latitude,longitude,year,facility_type
TORQUAY COAST PRIMARY SCHOOL,-38.3030700646395,144.340319982479,2019,<class 'type'>,primary_school
BRIDGEWOOD PRIMARY SCHOOL,-38.0719499966429,145.419659958575,2019,<class 'type'>,primary_school
SOUTH MELBOURNE PRIMARY SCHOOL,-37.8292799958668,144.9537399916,2019,<class 'type'>,primary_school
Echuca Twin Rivers Primary School,-36.1375100066415,144.724749992451,2019,<class 'type'>,primary_school
TARNEIT RISE PRIMARY SCHOOL,-37.8361799964109,144.665819973929,2019,<class 'type'>,primary_school
SPRINGVALE RISE PRIMARY SCHOOL - WAREHAM STREET CAMPUS,-37.9392599986598,145.15904997784,2019,<class 'type'>,primary_school
SPRINGVALE RISE PRIMARY SCHOOL - SPRINGVALE ROAD CAMPUS,-37.9521699973047,145.152759985513,2019,<class 'type'>,primary_school
PAKENHAM PRIMARY SCHOOL,-38.0639400010139,145.510839995539,2019,<class 'type'>,primary_school
BURNSIDE PRIMARY SCHOOL,-37.745660002711,144.752889980477,2019,<class 'type'>,primary_school
AITKEN HILL PRIMARY SCHOOL,-37.6017100021665,144.905559970534,2019,<class 'type'>,primary_school
SOUTH MELBOURNE PARK PRIMARY SCHOOL,-37.8405399955488,144.962699959819,2019,<class 'type'>,primary_school
ATHOL ROAD PRIMARY SCHOOL,-37.9710499962286,145.149969968918,2019,<class 'type'>,primary_school
